,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,ticker
28,2015-12-31,2016-01-26,0.82,0.8075,0.0125,1.548,AAPL
29,2015-09-30,2015-10-27,0.49,0.47,0.02,4.2553,AAPL
30,2015-06-30,2015-07-21,0.4625,0.4525,0.01,2.2099,AAPL
31,2015-03-31,2015-04-27,0.5825,0.54,0.0425,7.8704,AAPL
32,2014-12-31,2015-01-27,0.765,0.65,0.115,17.6923,AAPL
33,2014-09-30,2014-10-20,0.355,0.3275,0.0275,8.3969,AAPL
34,2014-06-30,2014-07-22,0.32,0.3075,0.0125,4.065,AAPL
35,2014-03-31,2014-04-23,0.415,0.365,0.05,13.6986,AAPL
36,2013-12-31,2014-01-27,0.5175,0.5025,0.015,2.9851,AAPL
37,2013-09-30,2013-10-28,0.295,0.285,0.01,3.5088,AAPL
38,2013-06-30,2013-07-23,0.2675,0.2625,0.005,1.9048,AAPL
39,2013-03-31,2013-04-23,0.36,0.3575,0.0025,0.6993,AAPL
40,2012-12-31,2013-01-23,0.4925,0.48,0.0125,2.6042,AAPL
41,2012-09-30,2012-10-25,0.31,0.3125,-0.0025,-0.8,AAPL
42,2012-06-30,2012-07-24,0.3325,0.37,-0.0375,-10.1351,AAPL
43,2012-03-31,2012-04-24,0.44,0.3575,0.0825,23.0769,AAPL
44,2011-12-31,2012-01-24,0.495,0.3625,0.1325,36.5517,AAPL
45,2011-09-30,2011-10-18,0.2525,0.265,-0.0125,-4.717,AAPL
46,2011-06-30,2011-07-19,0.2775,0.2075,0.07,33.7349,AAPL
47,2011-03-31,2011-04-20,0.2275,0.1925,0.035,18.1818,AAPL
48,2010-12-31,2011-01-18,0.23,0.1925,0.0375,19.4805,AAPL
49,2010-09-30,2010-10-18,0.165,0.145,0.02,13.7931,AAPL
50,2010-06-30,2010-07-20,0.125,0.11,0.015,13.6364,AAPL
51,2010-03-31,2010-04-20,0.12,0.0875,0.0325,37.1429,AAPL
52,2009-12-31,2010-01-25,0.13,0.075,0.055,73.3333,AAPL
53,2009-09-30,2009-10-19,0.065,0.05,0.015,30,AAPL
54,2009-06-30,2009-07-21,0.0475,0.0425,0.005,11.7647,AAPL
55,2009-03-31,2009-04-22,0.0475,0.04,0.0075,18.75,AAPL
56,2008-12-31,2009-01-21,0.0625,0.05,0.0125,25,AAPL
57,2008-09-30,2008-10-21,0.045,0.04,0.005,12.5,AAPL
58,2008-06-30,2008-07-21,0.0425,0.0375,0.005,13.3333,AAPL
59,2008-03-31,2008-04-23,0.0425,0.0375,0.005,13.3333,AAPL
60,2007-12-31,2008-01-22,0.25,0.23,0.02,8.6957,AAPL
61,2007-09-30,2007-10-22,0.14,0.12,0.02,16.6667,AAPL
62,2007-06-30,2007-07-25,0.13,0.1,0.03,30,AAPL
63,2007-03-31,2007-04-25,0.12,0.09,0.03,33.3333,AAPL
64,2006-12-31,2007-01-17,0.16,0.11,0.05,45.4545,AAPL
65,2006-09-30,2006-10-18,0.09,0.07,0.02,28.5714,AAPL
66,2006-06-30,2006-07-19,0.08,0.06,0.02,33.3333,AAPL
67,2006-03-31,2006-04-19,0.07,0.06,0.01,16.6667,AAPL
68,2005-12-31,2006-01-18,0.09,0.09,0,0,AAPL
69,2005-09-30,2005-10-11,0.05,0.05,0,0,AAPL
70,2005-06-30,2005-07-13,0.05,0.04,0.01,25,AAPL
71,2005-03-31,2005-04-13,0.05,0.03,0.02,66.6667,AAPL
72,2004-12-31,2005-01-12,0.05,0.03,0.02,66.6667,AAPL
73,2004-09-30,2004-10-13,0.02,0.01,0.01,100,AAPL
74,2004-06-30,2004-07-14,0.01,0.01,0,0,AAPL
75,2004-03-31,2004-04-14,0.01,0.01,0,0,AAPL
76,2003-12-31,2004-01-14,0.01,0.01,0,0,AAPL
77,2003-09-30,2003-10-15,0.01,None,None,None,AAPL
78,2003-06-30,2003-07-16,0.0009,None,None,None,AAPL
79,2003-03-31,2003-04-16,0.0007,None,None,None,AAPL
80,2002-12-31,2003-01-15,-0.0004,None,None,None,AAPL
81,2002-09-30,2002-10-16,-0.0022,None,None,None,AAPL
82,2002-06-30,2002-07-16,0.01,0.01,0,0,AAPL
83,2002-03-31,2002-04-18,0.002,None,None,None,AAPL
84,2001-12-31,2002-01-16,0.01,0.01,0,0,AAPL
85,2001-09-30,2001-10-18,0.0034,None,None,None,AAPL
86,2001-06-30,2001-07-18,0.003,None,None,None,AAPL
87,2001-03-31,2001-04-18,0.01,None,None,None,AAPL
88,2000-12-31,2000-12-31,-0.0097,None,None,None,AAPL
89,2000-09-30,2000-10-18,0.01,0.01,0,0,AAPL
90,2000-06-30,2000-07-18,0.03,0.03,0,0,AAPL
91,2000-03-31,2000-04-19,0.03,0.03,0,0,AAPL
92,1999-12-31,2000-01-19,0.04,0.03,0.01,33.3333,AAPL
93,1999-09-30,1999-10-13,0.02,0.02,0,0,AAPL
94,1999-06-30,1999-07-14,0.02,0.02,0,0,AAPL
95,1999-03-31,1999-04-14,0.02,0.02,0,0,AAPL
96,1998-12-31,1999-01-13,0.03,0.02,0.01,50,AAPL
97,1998-09-30,1998-10-14,0.02,0.02,0,0,AAPL
98,1998-06-30,1998-07-15,0.02,0.01,0.01,100,AAPL
99,1998-03-31,1998-04-15,0.01,0.01,0,0,AAPL
100,1997-12-31,1998-01-14,0.01,0.01,0,0,AAPL
101,1997-09-30,1997-10-15,-0.0114,None,None,None,AAPL
102,1997-06-30,1997-07-16,-0.02,-0.02,0,0,AAPL
103,1997-03-31,1997-04-16,-0.05,-0.04,-0.01,-25,AAPL
104,1996-12-31,1997-01-15,-0.03,-0.02,-0.01,-50,AAPL
105,1996-09-30,1996-10-16,0.0018,-0.01,0.0118,118,AAPL
106,1996-06-30,1996-07-17,-0.02,-0.04,0.02,50,AAPL
107,1996-03-31,1996-04-17,-0.07,-0.05,-0.02,-40,AAPL
